--- Render Session Started: 2025-11-28_16-16-11 ---
Blender: C:/Program Files (x86)/Steam/steamapps/common/Blender/blender.exe
Project: D:/Working/SETT/MV/MV0033/Working/MV0033_Luna and Frank 2Part.blend
Range: 2295 to 2300
----------------------------------------
Command: C:/Program Files (x86)/Steam/steamapps/common/Blender/blender.exe -b D:/Working/SETT/MV/MV0033/Working/MV0033_Luna and Frank 2Part.blend -s 2295 -e 2300 -a
🔄 blenderkit: Verbose is enabled
🔄 blenderkit: Read in JSON settings from file
ℹ️  blenderkit: Ports reordered so first port is now 62485 (previous index was 0) [16:16:12.286, client_lib.py:125]
Created history step a4860ba9-0e83-4c32-9a9f-63fb3f9933e9
ℹ️  blenderkit: Created new search history step [16:16:12.300, search.py:1751]
00:01.000  blend            | Read blend: "D:\Working\SETT\MV\MV0033\Working\MV0033_Luna and Frank 2Part.blend"
Blender 5.0.0 (hash a37564c4df7a built 2025-11-18 11:06:54)
Could not open as Ogawa file from provided streams.Could not open as Ogawa file from provided streams.
Could not open as Ogawa file from provided streams.

Unable to open Unable to open D:\Match Villains File System\Match Villains\3D\Blender\adno_PrisonCoin\Animations\PrisonCoin_abc\Luna_01.abcD:\Match Villains File System\Match Villains\3D\Blender\adno_PrisonCoin\Animations\PrisonCoin_abc\Victor_01.abcUnable to open D:\Match Villains File System\Match Villains\3D\Blender\adno_PrisonCoin\Animations\PrisonCoin_abc\Frank_03.abc


00:07.531  render           | Rendering animation (frames 2295..2300)
00:07.547  render           | Start rendering: Scene, ViewLayer
00:07.547  render           | Engine: Cycles
Could not open as Ogawa file from provided streams.
Could not open as Ogawa file from provided streams.
Could not open as Ogawa file from provided streams.
Unable to open D:\Match Villains File System\Match Villains\3D\Blender\adno_PrisonCoin\Animations\PrisonCoin_abc\Victor_01.abc
Unable to open D:\Match Villains File System\Match Villains\3D\Blender\adno_PrisonCoin\Animations\PrisonCoin_abc\Frank_03.abc
Unable to open D:\Match Villains File System\Match Villains\3D\Blender\adno_PrisonCoin\Animations\PrisonCoin_abc\Luna_01.abc
00:14.703  render           | Mem: 1M | Synchronizing object | media (2)
00:14.703  render           | Mem: 1M | Synchronizing object | Green.001
00:14.703  render           | Mem: 1M | Synchronizing object | Green.003
00:14.703  render           | Mem: 1M | Synchronizing object | Green.029
00:14.703  render           | Mem: 1M | Synchronizing object | Green.005
00:14.703  render           | Mem: 1M | Synchronizing object | Green.007
00:14.703  render           | Mem: 1M | Synchronizing object | Green.009
00:14.703  render           | Mem: 1M | Synchronizing object | Green.011
00:14.703  render           | Mem: 1M | Synchronizing object | Green.013
00:14.703  render           | Mem: 1M | Synchronizing object | Green.015
00:14.703  render           | Mem: 1M | Synchronizing object | Green.017
00:14.703  render           | Mem: 1M | Synchronizing object | Green.019
00:14.703  render           | Mem: 1M | Synchronizing object | Green.021
00:14.703  render           | Mem: 1M | Synchronizing object | Green.023
00:14.703  render           | Mem: 1M | Synchronizing object | Green.025
00:14.703  render           | Mem: 1M | Synchronizing object | Green.027
00:14.703  render           | Mem: 1M | Synchronizing object | Green.031
00:14.703  render           | Mem: 1M | Synchronizing object | Green.065
00:14.703  render           | Mem: 1M | Synchronizing object | Green.067
00:14.703  render           | Mem: 1M | Synchronizing object | Green.069
00:14.703  render           | Mem: 1M | Synchronizing object | Green.071
00:14.703  render           | Mem: 1M | Synchronizing object | Green.073
00:14.703  render           | Mem: 1M | Synchronizing object | Green.075
00:14.703  render           | Mem: 1M | Synchronizing object | Green.077
00:14.703  render           | Mem: 1M | Synchronizing object | Green.079
00:14.703  render           | Mem: 1M | Synchronizing object | Green.081
00:14.703  render           | Mem: 1M | Synchronizing object | Green.083
00:14.703  render           | Mem: 1M | Synchronizing object | Green.085
00:14.703  render           | Mem: 1M | Synchronizing object | Green.089
00:14.703  render           | Mem: 1M | Synchronizing object | Green.087
00:14.703  render           | Mem: 1M | Synchronizing object | Green.091
00:14.703  render           | Mem: 1M | Synchronizing object | Green.093
00:14.703  render           | Mem: 1M | Synchronizing object | Green.097
00:14.703  render           | Mem: 1M | Synchronizing object | Green.099
00:14.703  render           | Mem: 1M | Synchronizing object | Green.102
00:14.703  render           | Mem: 1M | Synchronizing object | Green.106
00:14.703  render           | Mem: 1M | Synchronizing object | Green.108
00:14.703  render           | Mem: 1M | Synchronizing object | Green.114
00:14.703  render           | Mem: 1M | Synchronizing object | Green.119
00:14.703  render           | Mem: 1M | Synchronizing object | Green.122
00:14.703  render           | Mem: 1M | Synchronizing object | Green.157
00:14.703  render           | Mem: 1M | Synchronizing object | Green.159
00:14.703  render           | Mem: 1M | Synchronizing object | Green.161
00:14.703  render           | Mem: 1M | Synchronizing object | Green.163
00:14.703  render           | Mem: 1M | Synchronizing object | Green.165
00:14.703  render           | Mem: 1M | Synchronizing object | Green.167
00:14.703  render           | Mem: 1M | Synchronizing object | Green.169
00:14.703  render           | Mem: 1M | Synchronizing object | Green.171
00:14.703  render           | Mem: 1M | Synchronizing object | Green.173
00:14.703  render           | Mem: 1M | Synchronizing object | Green.175
00:14.703  render           | Mem: 1M | Synchronizing object | Green.177
00:14.703  render           | Mem: 1M | Synchronizing object | Green.179
00:14.703  render           | Mem: 1M | Synchronizing object | Green.181
00:14.703  render           | Mem: 1M | Synchronizing object | Green.183
00:14.703  render           | Mem: 1M | Synchronizing object | Green.205
00:14.703  render           | Mem: 1M | Synchronizing object | Green.185
00:14.703  render           | Mem: 1M | Synchronizing object | Green.187
00:14.703  render           | Mem: 1M | Synchronizing object | Green.189
00:14.703  render           | Mem: 1M | Synchronizing object | Green.211
00:14.703  render           | Mem: 1M | Synchronizing object | Green.213
00:14.703  render           | Mem: 1M | Synchronizing object | Green.261
00:14.703  render           | Mem: 1M | Synchronizing object | Green.215
00:14.703  render           | Mem: 1M | Synchronizing object | Green.243
00:14.703  render           | Mem: 1M | Synchronizing object | Green.217
00:14.703  render           | Mem: 1M | Synchronizing object | Green.221
00:14.703  render           | Mem: 1M | Synchronizing object | Green.223
00:14.703  render           | Mem: 1M | Synchronizing object | Green.225
00:14.703  render           | Mem: 1M | Synchronizing object | Green.227
00:14.703  render           | Mem: 1M | Synchronizing object | Green.231
00:14.703  render           | Mem: 1M | Synchronizing object | Green.233
00:14.703  render           | Mem: 1M | Synchronizing object | Green.235
00:14.703  render           | Mem: 1M | Synchronizing object | Green.237
00:14.703  render           | Mem: 1M | Synchronizing object | Green.239
00:14.703  render           | Mem: 1M | Synchronizing object | Green.245
00:14.703  render           | Mem: 1M | Synchronizing object | Green.247
00:14.703  render           | Mem: 1M | Synchronizing object | Green.249
00:14.703  render           | Mem: 1M | Synchronizing object | Green.253
00:14.703  render           | Mem: 1M | Synchronizing object | Green.257
